NAME_0,NAME_1
Afghanistan,Badakhshan
Afghanistan,Badghis
Afghanistan,Baghlan
Afghanistan,Balkh
Afghanistan,Bamyan
Afghanistan,Daykundi
Afghanistan,Farah
Afghanistan,Faryab
Afghanistan,Ghazni
Afghanistan,Ghor
Afghanistan,Hilmand
Afghanistan,Hirat
Afghanistan,Jawzjan
Afghanistan,Kabul
Afghanistan,Kandahar
Afghanistan,Kapisa
Afghanistan,Khost
Afghanistan,Kunar
Afghanistan,Kunduz
Afghanistan,Laghman
Afghanistan,Logar
Afghanistan,Nangarhar
Afghanistan,Nimroz
Afghanistan,Nuristan
Afghanistan,Paktika
Afghanistan,Paktya
Afghanistan,Panjshir
Afghanistan,Parwan
Afghanistan,Samangan
Afghanistan,Sari Pul
Afghanistan,Takhar
Afghanistan,Uruzgan
Afghanistan,Wardak
Afghanistan,Zabul
Akrotiri and Dhekelia,Akrotiri
Akrotiri and Dhekelia,Dhekelia
Aksai Chin,Xinjiang Uygur
Aksai Chin,Xizang
Åland,Archipelago
Åland,Countryside
Åland,Mariehamn
Albania,Berat
Albania,Dibër
Albania,Durrës
Albania,Elbasan
Albania,Fier
Albania,Gjirokastër
Albania,Korçë
Albania,Kukës
Albania,Lezhë
Albania,Shkodër
Albania,Tiranë
Albania,Vlorë
Algeria,Adrar
Algeria,Aïn Defla
Algeria,Aïn Témouchent
Algeria,Alger
Algeria,Annaba
Algeria,Batna
Algeria,Béchar
Algeria,Béjaïa
Algeria,Biskra
Algeria,Blida
Algeria,Bordj Bou Arréridj
Algeria,Bouira
Algeria,Boumerdès
Algeria,Chlef
Algeria,Constantine
Algeria,Djelfa
Algeria,El Bayadh
Algeria,El Oued
Algeria,El Tarf
Algeria,Ghardaïa
Algeria,Guelma
Algeria,Illizi
Algeria,Jijel
Algeria,Khenchela
Algeria,Laghouat
Algeria,M'Sila
Algeria,Mascara
Algeria,Médéa
Algeria,Mila
Algeria,Mostaganem
Algeria,Naâma
Algeria,Oran
Algeria,Ouargla
Algeria,Oum el Bouaghi
Algeria,Relizane
Algeria,Saïda
Algeria,Sétif
Algeria,Sidi Bel Abbès
Algeria,Skikda
Algeria,Souk Ahras
Algeria,Tamanghasset
Algeria,Tébessa
Algeria,Tiaret
Algeria,Tindouf
Algeria,Tipaza
Algeria,Tissemsilt
Algeria,Tizi Ouzou
Algeria,Tlemcen
American Samoa,Eastern
American Samoa,Manu'a
American Samoa,Unorganized
American Samoa,Western
Andorra,Andorra la Vella
Andorra,Canillo
Andorra,Encamp
Andorra,Escaldes-Engordany
Andorra,La Massana
Andorra,Ordino
Andorra,Sant Julià de Lòria
Angola,Bengo
Angola,Benguela
Angola,Bié
Angola,Cabinda
Angola,Cuando Cubango
Angola,Cuanza Norte
Angola,Cuanza Sul
Angola,Cunene
Angola,Huambo
Angola,Huíla
Angola,Luanda
Angola,Lunda Norte
Angola,Lunda Sul
Angola,Malanje
Angola,Moxico
Angola,Namibe
Angola,Uíge
Angola,Zaire
Anguilla,Blowing Point
Anguilla,Dog Island
Anguilla,East End
Anguilla,George Hill
